Energy Savings Regressions,None,None_1,None_2,None_3,None_4,Regression Form (a+bx+cx^2),None_5,None_6,None_7,None_8,None_9,None_10,nan,nan_1,nan_2,nan_3,nan_4,nan_5,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22,None_23,None_24,None_25,None_26,None_27,None_28,None_29,None_30,None_31,None_32,None_33,None_34,None_35,None_36,None_37,None_38,None_39,None_40,None_41,None_42,None_43,None_44,None_45,None_46,None_47,None_48,None_49,None_50,None_51,None_52,None_53,None_54,None_55,None_56,None_57,None_58,None_59,None_60,None_61,None_62,None_63,None_64,None_65,None_66,None_67,None_68,None_69,None_70,None_71
,,,,,,Heating Coefficients,,,Cooling Coefficients,,,Notes/Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,CSW Type, ,HVAC Type,Fuel,a,b,c,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single,Single, ,VAV,Elec,19.2535094867,0.0021027715,-2.52e-08,8.3588249804184,0.0051741083561,-4.509792e-07,,-0.272844767126004,0.00398447684007889,-2.19525217785635e-07,1.5740779421716,0.00817920110453155,-4.49855873707022e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Single,Double, ,VAV,Elec,26.1154111014,0.0017023889,-1.44e-08,10.0933150471341,0.0072544761114,-6.734289e-07, ,0.0745746612558608,0.00399902310597373,-2.86279214156727e-07,0.785880050034355,0.00929624952431795,-5.28519707098195e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Double,Single, ,VAV,Elec,13.5118314675379,0.000717688061,2.8786e-09,3.6366203503284,0.004210508507,-3.316434e-07,,2.47963101180511,0.00307279186679021,-1.6647536763604e-07,1.64988448260013,0.0125517671689523,-6.34901612062771e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Single,Single, ,VAV,Gas,0.8025655718,9.19834e-05,-1.2e-09,8.3588249804184,0.0051741083561,-4.509792e-07,,2.24790592765953,0.00216148769363151,-1.52317010885847e-07,0.456579048462087,0.0179158590193112,-1.01352874386841e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Single,Double, ,VAV,Gas,1.1202876037,7.31646e-05,-3e-10,10.0933150471341,0.0072544761114,-6.734289e-07,,0.022270366815565,0.000158220357149025,-8.428008644813e-09,1.26657821532221,0.00881249122341594,-4.74647065622687e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Double,Single, ,VAV,Gas,0.5762796120905,3.06093958e-05,-1.228e-10,3.6366203503284,0.004210508507,-3.316434e-07,,-1.05583070608346,0.000475616977761295,-3.40521171907892e-08,0.786816717041197,0.00925789002499418,-5.15592525052134e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.193231798863143,0.000213081671898579,-1.15481344865291e-08,0.834401294810708,0.0164891299102991,-8.94392112211468e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak Load Reduction Regressions,,,,,,Regression Form (a+bx+cx^2),,,,,,,-0.0933239575087779,0.000154140553737844,-1.1003330690271e-08,0.459822264367726,0.0178474648366145,-9.93203485533603e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Base Peak Load Coefficient,,,Cooling Coefficients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,HVAC Type,CSW Type,Fuel,,a,b,c,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single,VAV,Single,N/A,,15.9452239594,0.0062549245,-4.666e-07,10.2211923985,0.004944024,-4.35e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Single,VAV,Double,N/A,,15.9452239594,0.0062549245,-4.666e-07,16.1958194829,0.0105053681,-1.0237e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Double,VAV,Single,N/A,,19.6200150139,0.0031579652,-2.394e-07,5.1435341982,0.0039769961,-3.869e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline EUI Regressions,,,,,,Regression Form (a+bx+cx^2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Coefficients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,CSW Type, ,HVAC Type,Fuel,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single,N/A, ,VAV,Elec,222.325384162,-0.0087189969,1.229e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Double,N/A, ,VAV,Elec,217.2210208868,-0.0080141336,1.1096e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Single,N/A, ,VAV,Gas,238.562953831,-0.0081294444,1.3234e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Double,N/A, ,VAV,Gas,229.9585815832,-0.0063651313,1.1099e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooling / Aux Split Regression,,,a,b,c,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.71341240431,-0.000195421001,3.9398e-08,-3e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
