Energy Savings Regressions,None,None_1,None_2,None_3,None_4,None_5,Regression Form (a+bx+cx^2) ,None_6,None_7,None_8,None_9,None_10,None_11,nan,nan_1,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22,None_23,None_24,None_25,None_26,None_27,None_28,None_29,None_30,None_31,None_32,None_33,None_34,None_35,None_36,None_37,None_38,None_39,None_40,None_41,None_42,None_43,None_44,None_45,None_46,None_47,None_48,None_49,None_50,None_51,None_52,None_53,None_54,None_55,None_56,None_57,None_58,None_59,None_60,None_61,None_62,None_63,None_64,None_65,None_66,None_67,None_68,None_69,None_70,None_71,None_72,None_73,None_74,None_75
,,,,,,,Heating Coefficients,,,Cooling Coefficients,,,Heating Coefficients (Part 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,CSW Type,Hotel Size,HVAC/Fuel Type,Fuel Type,Occupancy,a,b,c,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single,Single,Small,PTAC,Electric,33,0.2619527709999,0.001167215,7.07e-08,1.04158823989,0.00143588797,-7.425e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Single,Single,Small,PTAC,Electric,100,0.346283696295,0.0017405995495,3.30325e-08,1.9827868029426,0.0013241617148,-3.55743e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Single,Double,Small,PTAC,Electric,33,0.3383231982917,0.0009332531004,8.53014e-08,2.4891240562,0.002564232,-1.423e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Single,Double,Small,PTAC,Electric,100,0.459271791908,0.0014362078581,5.32469e-08,3.8609913082,0.002663451,-1.156e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Double,Single,Small,PTAC,Electric,33,0.2385511385,0.000242762,5.61e-08,0.7743625528186,0.001127641858,-6.53524e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Double,Single,Small,PTAC,Electric,100,0.2394504773987,0.0008016280789,1.49553e-08,0.9619693618906,0.0013187956103,-6.1448e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Single,Single,Small,PTHP,Electric,33,0.1190476926136,0.0004236380936,4.74207e-08,1.04158823989,0.00143588797,-7.425e-08,47.5035704817326,-0.0110313395645,7.421641e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Single,Single,Small,PTHP,Electric,100,0.1473375899354,0.0006579815305,3.4171e-08,1.9827868029426,0.0013241617148,-3.55743e-08,47.5333390499922,-0.0108751985302,7.386399e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Single,Double,Small,PTHP,Electric,33,0.1506637514617,0.000329142439,5.24614e-08,2.4891240562,0.002564232,-1.423e-07,47.4252226620926,-0.0110706999538,7.420355e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Single,Double,Small,PTHP,Electric,100,0.1940133802237,0.0005346965933,4.13462e-08,3.8609913082,0.002663451,-1.156e-07,47.8443170595572,-0.0110241972515,7.449341e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Double,Single,Small,PTHP,Electric,33,0.1040506059677,7.43173388e-05,3.07897e-08,0.7743625528186,0.001127641858,-6.53524e-08,23.4641493550631,-0.0055317660319,3.681702e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Double,Single,Small,PTHP,Electric,100,0.0990646258306,0.0003037346661,1.56232e-08,0.9619693618906,0.0013187956103,-6.1448e-08,21.9388366388782,-0.0050137703501,3.405534e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak Load Reduction Regressions,,,,,,,Regression Form (a+bx+cx^2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Base Peak Load Coefficient,,,Cooling Reduction Coefficients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,SGS Type,Hotel Size,HVAC System Type,Location,,a,b,c,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single,Single,Small,N/A,N/A,,16.4825215142,0.0040935343,-3.244e-07,13.6830287823,0.0061770854,-5.891e-07, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Single,Double,Small,N/A,N/A,,16.4825215142,0.0040935343,-3.244e-07,24.7901928753,0.0117108606,-1.1299e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Double,Single,Small,N/A,N/A,,16.254300144,0.0040813324,-4.02e-07,8.6454974846,0.0043684345,-4.061e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUI Regressions,,,,,,,Regression Form (a+bx+cx^2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Coefficients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,CSW Type,Hotel Size,HVAC/Fuel Type,Location,Occupancy,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single,N/A,Small,PTAC,N/A,33,53.3842245004,-0.0018385421,5.912e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Single,N/A,Small,PTAC,N/A,100,61.75477578,-0.00289427,6.6e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Double,N/A,Small,PTAC,N/A,33,56.6257683934,-0.0021876602,5.948e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Double,N/A,Small,PTAC,N/A,100,61.9924457493,-0.0031040517,6.701e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Single,N/A,Small,PTHP,N/A,33,50.7112168232,-0.0053320795,7.588e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Single,N/A,Small,PTHP,N/A,100,56.6865005513,-0.005558187,7.785e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Double,N/A,Small,PTHP,N/A,33,48.8358742131,-0.0046747475,6.767e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Double,N/A,Small,PTHP,N/A,100,55.8013867432,-0.0047837557,6.515e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooling / Aux Split Regression,,,a,b,c,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.4686389454,-0.00036016388,1.0366e-07,-1e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
